Kt-221,<ul><li>name :- Kt-221</li><li>Hight :- 12 inch</li><li>Width :- 10 inch</li><li>Handel :- 06 inch</li></ul>,"Product Ranges",uploads/08.jpg
Kt-511,<ul><li>name :- Kt-511</li><li>Hight :- 14 inch</li><li>Width :- 12 inch</li><li>Handel :- 18 inch</li></ul>,"Product Ranges",uploads/12.jpg
Kt-12,<ul><li>name :- Kt-12</li><li>Hight :- 14 inch</li><li>Width :- 12 inch</li><li>Handel :- Wooden Handel</li></ul>,"Product Ranges",uploads/09.jpg
Kt-14,<ul><li>name :- Kt-14</li><li>Hight :- 14 inch</li><li>Width :- 12 inch</li><li>Handel :- Wooden Handel</li></ul>,"Product Ranges",uploads/06.jpg
Kt-13,<ul><li>name :- Kt-13</li><li>Hight :- 14 inch</li><li>Width :- 16 inch</li><li>Handel :- 20 inch</li></ul>,"Product Ranges",uploads/05.jpg
Kt-512,<ul><li>name :- Kt-512</li><li>Hight :- 14 inch</li><li>Width :- 12 inch</li><li>Handel :- 18 inch</li></ul>,"Product Ranges",uploads/New Project.jpg
Kt-513,<ul><li>name :- Kt-513</li><li>Hight :- 14 inch</li><li>Width :- 12 inch</li><li>Handel :- 18 inch</li></ul>,"Product Ranges",uploads/13.jpg
Kt-514,<ul><li>name :- Kt-514</li><li>Hight :- 14 inch</li><li>Width :- 12 inch</li><li>Handel :- 18 inch</li></ul>,"Product Ranges",uploads/14.jpg
Kt-222,<ul><li>name :- Kt-222</li><li>Hight :- 14 inch</li><li>Width :- 12 inch</li><li>Handel :- 18 inch</li></ul>,"Product Ranges",uploads/222.jpg
Jute Fabric, <p>Jute fabric derived from the natural fibers of the jute plant boast a unique blend of strength and eco-friendliness Known for their coarse texture jute fabrics are often utilized in the creation of sturdy bags</p>,"Product Fabric",uploads/Jute.jpg
Cotton fabric,<p>Cotton fabrics are soft breathable textiles made from natural cotton fibers renowned for their comfort and versatility With excellent moisture absorption properties cotton fabrics keep the body cool in warm weather</p>,"Product Fabric",uploads/cotton.jpg
Juco Fabric,<p>Cotton jute fabrics combine the natural softness of cotton with the rustic texture of jute fibers This blend creates textiles that are both comfortable and visually appealing Cotton adds a smooth touch to the coarser jute</p>,"Product Fabric",uploads/juco.jpg
Grey Fabric,<p>Grey fabrics often woven from a blend of different fibers offer a neutral and timeless aesthetic These textiles come in various shades of grey providing a versatile choice for fashion and interior design</p>,"Product Fabric",uploads/grey.jpg
